Time,Source,Destination,Protocol,Length,Info
0,10.10.10.23,10.10.10.22,BitTorrent,122,'Handshake  '
0.004682,10.10.10.22,10.10.10.23,BitTorrent,445,'Handshake  Extended  Bitfield, Len:0x35  Have, Piece (Idx:0x8a)  Have, Piece (Idx:0xa0)  Have, Piece (Idx:0x59)  Have, Piece (Idx:0x15c)  Have, Piece (Idx:0x130)  Have, Piece (Idx:0x120)  Have, Piece (Idx:0x105)  Have, Piece (Idx:0x44)  Have, Piece (Idx:0xd9)  Have, Piece (Idx:0xae)  Have, Piece (Idx:0x17e)  Have, Piece (Idx:0x153)  Have, Piece (Idx:0x123)  Have, Piece (Idx:0xf0)  Have, Piece (Idx:0x2c)  Have, Piece (Idx:0x117)  Have, Piece (Idx:0x13)  Have, Piece (Idx:0x31)  Have, Piece (Idx:0x14f)  Have, Piece (Idx:0xb9)  Have, Piece (Idx:0x19b)  Have, Piece (Idx:0x5d)  Have, Piece (Idx:0xf4)  Have, Piece (Idx:0x1f)  '
1.186658,10.10.10.23,10.10.10.22,BitTorrent,108,'Extended  Interested  '
1.528815,10.10.10.22,10.10.10.23,BitTorrent,60,'Unchoke  '
1.540399,10.10.10.23,10.10.10.22,BitTorrent,88,'Request, Piece (Idx:0x48,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x48,Begin:0x4000,Len:0x4000)  '
2.111579,10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
2.190682,10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
2.210827,10.10.10.23,10.10.10.22,BitTorrent,71,'[TCP ACKed unseen segment] Request, Piece (Idx:0x48,Begin:0x8000,Len:0x4000)  '
2.247969,10.10.10.23,10.10.10.22,BitTorrent,71,'[TCP ACKed unseen segment] Request, Piece (Idx:0x48,Begin:0xc000,Len:0x4000)  '
2.610577,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
2.668614,10.10.10.22,10.10.10.23,BitTorrent,728,'[TCP Previous segment not captured] Continuation data  '
2.668664,10.10.10.23,10.10.10.22,BitTorrent,71,'[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0x0,Len:0x4000)  '
2.739147,10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
2.739196,10.10.10.23,10.10.10.22,BitTorrent,71,'[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0x4000,Len:0x4000)  '
2.853131,10.10.10.23,10.10.10.22,BitTorrent,71,'[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0x8000,Len:0x4000)  '
3.670447,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
3.721771,10.10.10.22,10.10.10.23,BitTorrent,728,'[TCP Previous segment not captured] Continuation data  '
3.721815,10.10.10.23,10.10.10.22,BitTorrent,139,'[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0xc000,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0xc000,Len:0x4000)  '
3.795129,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
3.814221,10.10.10.22,10.10.10.23,BitTorrent,728,'[TCP Previous segment not captured] Continuation data  '
3.872641,10.10.10.23,10.10.10.22,BitTorrent,105,'[TCP ACKed unseen segment] Request, Piece (Idx:0x140,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x140,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x140,Begin:0x8000,Len:0x4000)  '
3.94665,10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
4.008454,10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
4.008533,10.10.10.23,10.10.10.22,BitTorrent,148,'[TCP ACKed unseen segment] Have, Piece (Idx:0x48)  Request, Piece (Idx:0x140,Begin:0xc000,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0xc000,Len:0x4000)  '
4.086144,10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Unchoke  '
4.72579,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
4.768713,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
4.800735,10.10.10.22,10.10.10.23,BitTorrent,1065,'[TCP Previous segment not captured] Continuation data  '
4.853844,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
4.927754,10.10.10.22,10.10.10.23,BitTorrent,728,'[TCP Previous segment not captured] Continuation data  '
5.071387,10.10.10.23,10.10.10.22,BitTorrent,122,'[TCP ACKed unseen segment] Request, Piece (Idx:0xf,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xf,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xf,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xf,Begin:0xc000,Len:0x4000)  '
5.087233,10.10.10.23,10.10.10.22,BitTorrent,122,'[TCP ACKed unseen segment] Request, Piece (Idx:0x36,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x36,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x36,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x36,Begin:0xc000,Len:0x4000)  '
5.127715,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.190356,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.268943,10.10.10.22,10.10.10.23,BitTorrent,1065,'[TCP Previous segment not captured] Continuation data  '
5.41891,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.441881,10.10.10.23,10.10.10.22,BitTorrent,122,'[TCP ACKed unseen segment] Request, Piece (Idx:0x10d,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0xc000,Len:0x4000)  '
5.577106,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.599774,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.621858,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.621971,10.10.10.23,10.10.10.22,BitTorrent,122,'[TCP ACKed unseen segment] Request, Piece (Idx:0xe5,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0xc000,Len:0x4000)  '
6.005782,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
6.049843,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
6.29419,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.019833,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.058605,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.083048,10.10.10.23,10.10.10.22,BitTorrent,167,'[TCP ACKed unseen segment] Have, Piece (Idx:0x156)  Have, Piece (Idx:0xf)  Have, Piece (Idx:0x37)  Have, Piece (Idx:0x140)  Have, Piece (Idx:0x157)  Request, Piece (Idx:0x106,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0xc000,Len:0x4000)  '
7.107354,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.139906,10.10.10.23,10.10.10.22,BitTorrent,199,'[TCP ACKed unseen segment] Have, Piece (Idx:0x36)  Request, Piece (Idx:0x178,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0xc000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0xc000,Len:0x4000)  '
7.595968,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.612353,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.655742,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Port  '
8.444258,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP ACKed unseen segment] [TCP Previous segment not captured] Continuation data  '
